,japanese,English
97,友達,"tomodachi - friend, companion (colloquial)"
98,早い,hayai - early
99,どれ,"dore - what, which"
100,美しい,utsukushii - beautiful
101,いつも,itsumo - always (colloquial)
102,足,"ashi - leg, foot"
103,起こす,okosu - wake (someone) up
104,見せる,miseru - show
105,娘,"musume - daughter, girl"
106,楽しむ,tanoshimu - enjoy
107,色,iro - color
108,みんな,minna - everybody (colloquial)
109,取る,"toru - take, get"
110,勉強,benkyou - study
111,できる,"dekiru - can do, be good at"
112,短い,"mijikai - short, brief"
113,落ちる,"ochiru - fall, come down"
114,息子,musuko - son
115,白い,"shiroi - white, blank"
116,飛行機,hikouki - airplane
117,病気,byouki - illness
118,冬,fuyu - winter
119,年,"toshi - year, age"
120,重い,omoi - heavy
121,胸,"mune - chest, breast"
122,払う,"harau - pay (money, respect, attention, etc.)"
123,軽い,karui - light (of weight)
124,見つける,mitsukeru - find
125,忘れる,"wasureru - forget, leave behind"
126,酒,"sake - alcohol, rice wine"
127,どちら,dochira - which (polite)
128,姉,ane - (one’s own) older sister
129,覚える,"oboeru - memorize, learn"
130,狭い,"semai - narrow, small"
131,赤い,akai - red
132,着る,"kiru - wear, put on"
133,笑う,"warau - laugh, smile"
134,一番,"ichiban - most, best"
135,授業,"jugyou - class session, lecture"
136,週,shuu - week
137,漢字,kanji - Chinese character
138,自転車,jitensha - bicycle
139,電車,densha - train
140,探す,"sagasu - search for, look for"
141,紙,kami - paper
142,歌う,utau - sing
143,遅い,"osoi - slow, late"
144,首,kubi - neck
145,速い,hayai - fast
146,一緒に,"issho ni - together, at the same time"
147,今月,kongetsu - this month
148,遊ぶ,asobu - play
149,遠い,"tooi - far, distant"
150,弱い,yowai - weak
151,耳,mimi - ear
152,座る,"suwaru - sit, sit down"
153,右,migi - right
154,浴びる,abiru - take (a shower)
155,肩,kata - shoulder
156,寝る,"neru - lie down and sleep, go to sleep"
157,消す,"kesu - switch off, turn off"
158,元気,"genki - healthy, energetic"
159,全部,"zenbu - all, whole"
160,去年,kyonen - last year (colloquial)
161,引く,"hiku - draw, pull"
162,図書館,toshokan - library
163,上げる,"ageru - raise, lift"
164,緑,midori - green
165,腕,ude - arm
166,ドア,doa - door (loan word)
167,女の子,onna no ko - little girl
168,男の子,otoko no ko - boy
169,私たち,watashitachi - we (colloquial)
170,近く,"chikaku - near, close to"
171,やる,"yaru - do, give"
172,かなり,"kanari - fairly, rather"
173,国,kuni - country
174,起こる,okoru - happen
175,秋,"aki - autumn, fall"
176,送る,okuru - send
177,死ぬ,shinu - die
178,気持ち,"kimochi - feeling, sensation"
179,乗る,"noru - ride, take"
180,いる,"iru - be present, stay"
181,木,"ki - tree, wood"
182,開ける,"akeru - open, unlock (doors, windows, etc.)"
183,閉める,"shimeru - shut, close (doors, windows, etc.)"
184,続く,"tsuzuku - continue, follow"
185,お医者さん,oishasan - doctor (polite)
186,円,en - Japanese yen
187,ここ,koko - here
188,待つ,"matsu - wait, wait for"
189,低い,"hikui - low, short"
190,もらう,morau - receive
191,食べる,taberu - eat
192,兄,ani - (one’s own) older brother
193,名前,namae - name
194,夫,otto - husband
195,一,ichi - one
196,結婚,kekkon - marriage
197,親,oya - parent
198,話す,"hanasu - speak, talk"
199,少し,"sukoshi - a bit, a little while"
200,閉じる,"tojiru - shut, close (books, eyes, etc.)"
201,時,"toki - time, moment"
202,米,kome - rice (grain)
203,切る,kiru - cut
204,楽しい,"tanoshii - fun, enjoyable"
205,服,fuku - clothes (colloquial)
206,後ろ,"ushiro - back, behind"
207,嬉しい,"ureshii - happy, glad"
208,腰,"koshi - waist, lower back"
209,日曜日,nichiyoubi - Sunday
210,昼,"hiru - daytime, midday"
211,お母さん,okaasan - mother (colloquial)
212,大学生,daigakusei - university student
213,終わり,"owari - end, conclusion"
214,背,"se - height, stature"
215,手伝う,"tetsudau - help, assist"
216,鼻,hana - nose
217,起きる,"okiru - occur, happen, wake up, get up"
218,載せる,"noseru - place, put on"
219,悲しい,kanashii - sad
220,しゃべる,"shaberu - chat, talk"
221,近く,"chikaku - in the near future, before long"
222,甘い,amai - sweet
223,テーブル,te-buru - table
224,食べ物,tabemono - food (colloquial)
225,始まる,hajimaru - begin
226,ゲーム,ge-mu - game
227,十,juu - ten
228,天気,tenki - weather
229,暑い,atsui - hot (of weather)
230,太い,"futoi - thick, fat"
231,晩,"ban - evening, night (from sunset to bedtime)"
232,土曜日,doyoubi - Saturday
233,痛い,"itai - sore, painful"
234,お父さん,"otousan - father, dad (colloquial)"
235,多分,"tabun - probably, perhaps"
236,時計,"tokei - clock, watch"
237,泊まる,tomaru - stay overnight
238,どうして,doushite - how come
239,掛ける,"kakeru - hang, put on"
240,曲がる,"magaru - make a turn, turn"
241,お腹,"onaka - stomach, belly"
242,ミーティング,mi-tingu - meeting
243,嫌い,kirai - dislike (habitual)
244,金曜日,kinyoubi - Friday
245,要る,"iru - need, require"
246,無い,nai - to not be
247,風邪,kaze - cold (illness)
248,黄色い,kiiroi - yellow
249,優しい,"yasashii - gentle, kind"
250,晴れる,"hareru - be sunny, clear up"
251,汚い,kitanai - dirty
252,茶色,chairo - brown
253,空く,"suku - be empty, become less crowded"
254,上る,"noboru - go up, climb"
255,ご飯,"gohan - meal, cooked rice"
256,日,nichi - counter for days
257,髪の毛,"kaminoke - hair, each single hair"
258,つける,"tsukeru - switch on, turn on"
259,月曜日,getsuyoubi - Monday
260,入る,hairu - enter
261,カタカナ,katakana - katakana
262,今週,konshuu - this week
263,開く,"hiraku - open (books, eyes, etc.)"
264,水,mizu - water
265,あれ,are - that (over there)
266,二,ni - two
267,締める,"shimeru - tighten, fasten"
268,まずい,"mazui - bad (taste), distasteful"
269,平仮名,hiragana - hiragana
270,曇る,kumoru - become cloudy
271,触る,"sawaru - touch, feel"
272,駄目,dame - no good
273,飲み物,"nomimono - beverage, drink"
274,木曜日,mokuyoubi - Thursday
275,曜日,youbi - day of the week
276,そば,"soba - side, vicinity"
277,こっち,"kocchi - here, this way (casual)"
278,火曜日,kayoubi - Tuesday
279,渇く,kawaku - be thirsty
280,三,san - three
281,水曜日,suiyoubi - Wednesday
282,二つ,futatsu - two (things)
283,今晩,"konban - this evening, tonight"
284,千,sen - thousand
285,六日,"muika - six days, sixth of the month"
286,お姉さん,onesan - older sister
287,直る,"naoru - be repaired, get fixed"
288,ちょっと,"chotto - just a moment, just a little"
289,四,yon - four (Japanese origin)
290,これから,"korekara - from now on, after this"
291,考える,"kangaeru - think, consider"
292,戻る,modoru - return to a point of departure
293,変える,"kaeru - change (something), alter"
294,朝,asa - morning
295,歯,ha - tooth
296,頑張る,"ganbaru - work hard, do one’s best"
297,携帯電話,keitaidenwa - cellular phone
298,雨,ame - rain
299,金,kane - money (colloquial)
300,易しい,"yasashii - easy, simple (colloquial)"
301,お兄さん,oniisan - older brother
302,大きい,ooki - big
303,小さい,chiisai - small
304,辛い,"karai - spicy, hot"
305,八,hachi - eight
306,あそこ,asoko - over there
307,来る,kuru - come
308,前,"mae - front, before"
309,五日,"itsuka - five days, fifth of the month"
310,いっぱい,ippai - full
311,酸っぱい,suppai - sour
312,違う,"chigau - differ, be wrong"
313,細い,"hosoi - thin, slender"
314,三つ,mittsu - three (things)
315,八日,"youka - eight days, eighth of the month"
316,高校生,koukousei - high school student
317,上手,"jouzu - good, skilled"
318,強い,tsuyoi - strong
319,七,nana - seven (Japanese origin)
320,二十日,"hatsuka - 20 days, 20th of the month"
321,左,hidari - left
322,二日,"futsuka - two days, second of the month"
323,四つ,yottsu - four (things)
324,暖かい,atatakai - warm
325,ある,"aru - exist, there is"
326,いい,ii - good (informal/spoken form)
327,上,"ue - up, above"
328,駅,eki - train station
329,美味しい,oishii - tasty
330,昨日,kinou - yesterday (colloquial)
331,綺麗,"kirei - pretty, clean"
332,五,go - five
333,九つ,kokonotsu - nine (things)
334,お願い,onegai - favor
335,答える,kotaeru - give an answer
336,先,"saki - ahead, first"
337,寒い,samui - cold (temperature of the air)
338,四,shi - four (Chinese origin)
339,三日,"mikka - three days, third of the month"
340,下,"shita - under, below"
341,大丈夫,"daijoubu - all right, OK"
342,大人,otona - adult
343,出す,dasu - take out
344,父,chichi - (speaker’s) father
345,母,haha - (speaker’s) mother
346,月,tsuki - moon
347,妹,imouto - younger sister
348,冷たい,tsumetai - cold (to touch)
349,弟,otouto - younger brother
350,手,te - hand
351,十日,"tooka - ten days, tenth of the month"
352,口,kuchi - mouth
353,夏,natsu - summer
354,七つ,nanatsu - seven (things)
355,時々,tokidoki - sometimes
356,何,nani - what
357,人,hito - person
358,一人,hitori - one person
359,一日,tsuitachi - first of the month
360,九日,"kokonoka - nine days, ninth of the month"
361,方,"hou - direction, side"
362,他,hoka - other (Japanese origin)
363,僕,"boku - I, me (usually used by young males)"
364,欲しい,"hoshii - want, desire (of the speaker)"
365,万,man - ten thousand
366,見える,"mieru - be visible, can see"
367,道,"michi - street, way"
368,五つ,itsutsu - five (things)
369,目,me - eye
370,八つ,yattsu - eight (things)
371,止める,tomeru - stop (a car…). 止める (yameru) give up
372,四日,"yokka - four days, fourth of the month"
373,夜,yoru - night (from sunset to sunrise)
374,来年,rainen - next year
375,六,roku - six
376,悪い,warui - bad
377,お手洗い,"otearai - toilet, bathroom"
378,ご主人,goshujin - (someone else’s) husband
379,本当に,"hontouni - really, truly"
380,自分,"jibun - self, oneself"
381,ため,"tame - sake, purpose"
382,見つかる,"mitsukaru - be found, be caught"
383,休む,"yasumu - take a rest, take a break"
384,ゆっくり,yukkuri - slowly
385,六つ,muttsu - six (things)
386,花,hana - flower
387,動く,ugoku - move
388,線,sen - line
389,七日,"nanoka - seven days, seventh of the month"
390,以外,igai - except for
391,男,"otoko - man, male"
392,彼,"kare - he, one’s boyfriend"
393,女,onna - woman
394,妻,tsuma - woman
395,百,hyaku - hundred
396,辺,atari - vicinity
397,店,"mise - shop, store"
398,閉まる,"shimaru - be shut, be closed"
399,問題,"mondai - problem, question"
400,必要,"hitsuyou - need, necessary"
401,もつ,"motsu - last long, be durable"
402,開く,hiraku - open
403,昨年,"sakunen - last year (formal, often used in writing)"
404,治る,"naoru - be cured, get well"
405,ドル,doru - dollar
406,システム,shisutemu - system (loan word)
407,以上,"ijou - more than, not less than"
408,最近,"saikin - recent, latest"
409,世界,sekai - world
410,コンピューター,konpyu-ta- - computer
411,やる,yaru - give (to an inferior)
412,意味,"imi - meaning, sense"
413,増える,"fueru - increase, accrue"
414,選ぶ,"erabu - choose, elect"
415,生活,"seikatsu - life, living"
416,進める,"susumeru - go ahead, proceed"
417,続ける,"tsuzukeru - continue, keep up"
418,ほとんど,"hotondo - almost, hardly"
419,会社,"kaisha - company, corporation"
420,家,"ie - house, dwelling"
421,多く,"ooku - much, largely"
422,話,"hanashi - talk, story"
423,上がる,"agaru - go up, rise (physical movement)"
424,もう,"mou - another, again"
425,集める,"atsumeru - collect, gather"
426,声,"koe - voice, sound"
427,初めて,hajimete - for the first time
428,変わる,"kawaru - change, turn into"
429,まず,"mazu - first of all, to begin with"
430,社会,shakai - society
431,プログラム,puroguramu - program booklet
432,力,"chikara - strength, power"
433,今回,konkai - this time
434,予定,"yotei - schedule, plan"
435,まま,"mama - as is, still (in the current state)"
436,テレビ,terebi - television
437,減る,"heru - decrease, diminish"
438,消える,"kieru - be extinguished, disappear"
439,家族,"kazoku - family, household"
440,比べる,"kuraberu - compare, contrast"
441,生まれる,"umareru - be born, come into existence"
442,ただ,tada - free
443,これら,korera - these
444,調べる,"shiraberu - investigate, check"
445,事故,"jiko - accident, trouble"
446,電話,"denwa - telephone, phone call"
447,外国,gaikoku - foreign country
448,銀行,ginkou - bank
449,十分,"juubun - enough, plentiful"
450,あまり,amari - (not) much
451,写真,shashin - photograph
452,繰り返す,kurikaesu - repeat
453,種類,"shurui - kind, type"
454,意見,iken - opinion
455,新聞,shinbun - newspaper
456,文章,"bunshou - sentence, writing"
457,目立つ,"medatsu - stand out, be conspicuous"
458,相手,"aite - opponent, the other party"
459,病院,byouin - hospital
460,厚い,"atsui - thick, bulky"
461,忙しい,"isogashii - busy, occupied"
462,薄い,"usui - thin, weak"
463,川,"kawa - river, stream"
464,暗い,"kurai - dark, gloomy"
465,クラス,kurasu - class (in school)
466,黒い,"kuroi - black, dark"
467,バス,basu - bus
468,青い,aoi - blue
469,買い物,"kaimono - shopping, purchase"
470,薬,"kusuri - drug, medicine"
471,砂糖,satou - sugar
472,休み,"yasumi - holiday, break"
473,郵便局,yuubinkyoku - post office
474,住所,juusho - address
475,こちら,"kochira - here, this way (polite)"
476,財布,"saifu - purse, wallet"
477,パスポート,pasupo-to - passport
478,椅子,isu - chair
479,可愛い,"kawaii - cute, sweet"
480,お祖父さん,ojiisan - grandfather (colloquial)
481,切手,kitte - postage stamp
482,涼しい,suzushii - cool (of temperature)
483,いくつ,"ikutsu - how many, how old"
484,メニュー,menyu- - menu
485,電気,"denki - electricity, electric light"
486,勝つ,katsu - win
487,負ける,makeru - lose
488,建てる,"tateru - build, erect"
489,日記,nikki - diary
490,売り切れ,urikire - sell out
491,お巡りさん,omawarisan - police officer (colloquial)
492,目覚まし時計,mezamashitokei - alarm clock
493,レシート,reshi-to - receipt (loan word)
494,ティッシュ,tisshu - tissue
495,歯ブラシ,haburashi - toothbrush
496,下りる,"oriru - go down, come down"
497,洗う,arau - wash
498,パート,pa-to - part-time
499,氏名,shimei - full name
500,今夜,"konya - tonight, this evening"
501,夜中,yonaka - midnight
502,来週,raishuu - next week
503,誰か,dareka - someone
504,何,nan - what. それはなんですか. What is that?
505,今朝,kesa - this morning
506,寿司,sushi - sushi
507,履く,"haku - put on (shoes), wear (pants, skirt)"
508,おじさん,ojisan - uncle
509,おばさん,obasan - aunt
510,お祖母さん,obaasan - grandmother (colloquial)
511,いとこ,itoko - cousin
512,辞書,jisho - dictionary (category)
513,朝ご飯,asagohan - breakfast
514,白,shiro - white
515,どっち,docchi - which (casual)
516,そっち,socchi - there (casual)
517,明日,ashita - tomorrow (colloquial)
518,明後日,myougonichi/asatte - day after tomorrow (colloquial)
519,一昨日,ototoi - the day before yesterday (colloquial)
520,庭,"niwa - garden, yard"
521,左側,hidarigawa - left side
522,右側,migigawa - right side
523,指,"yubi - finger, toe"
524,眼鏡,megane - glasses
525,鞄,"kaban - bag, handbag"
526,あっち,"acchi - other side, over there (casual)"
527,大人しい,"otonashii - gentle, quiet"
528,下手,heta - not good at
529,厳しい,"kibishii - strict, severe"
530,一人で,"hitoride - by oneself, alone"
531,答え,"kotae - answer, solution"
532,この頃,"konogoro - these days, recently"
533,残念,"zannen - regretful, disappointing"
534,仕舞う,"shimau - put away, put in"
535,心配,"shinpai - anxiety, worry"
536,外,"soto - outside, open air"
537,大切,"taisetsu - important, valuable"
538,ちょうど,"choudo - just, exactly"
539,助ける,"tasukeru - help, save"
540,勤める,"tsutomeru - serve, hold a job"
541,連れていく,"tsureteiku - take along, bring along (a person)"
542,丈夫,"joubu - healthy, sturdy"
543,賑やか,"nigiyaka - lively, exciting"
544,眠い,nemui - sleepy
545,山,yama - mountain
546,橋,hashi - bridge
547,止まる,"tomaru - come to a stop, cease"
548,降る,"furu - fall, come down (rain, snow, etc.)"
549,本当,"hontou - reality, genuine"
550,町,"machi - town, city"
551,お菓子,"okashi - sweets, snacks"
552,緩い,"yurui - slack, loose"
553,良い,yoi - good (formal/written form)
554,ようこそ,youkoso - welcome (greeting)
555,お土産,omiyage - souvenir (polite)
556,両親,ryoushin - parents
557,ウェーター,we-ta- - waiter
558,ウェートレス,we-toresu - waitress
559,絶対に,"zettaini - absolutely, definitely"
560,ごちそう,"gochisou - feast, treat"
561,フォーク,fo-ku - fork
562,スプーン,supu-n - spoon
563,瓶,bin - bottle
564,つく,"tsuku - be on, be switched on"
565,醤油,shouyu - soy sauce
566,茶碗,chawan - rice bowl
567,決める,"kimeru - decide, agree upon"
568,感じる,"kanjiru - feel, sense"
569,生きる,ikiru - live (one’s life)
570,動かす,ugokasu - move (something)
571,壊れる,"kowareru - break, break down"
572,復習,fukushuu - review
573,眉,mayu - eyebrow
574,客,"kyaku - visitor, customer"
575,机,tsukue - desk
576,風呂,furo - bath
577,湯,yu - hot water
578,ぬるい,"nurui - tepid, lukewarm"
579,風邪薬,kazegusuri - cold medicine
580,靴下,kutsushita - socks
581,タバコ,"tabako - tobacco, cigarette"
582,アイスコーヒー,aisuko-hi- - iced coffee
583,天ぷら,tempura - Japanese deep-fried food
584,肉,"niku - flesh, meat"
585,昨夜,"sakuya - last night, last evening (colloquial)"
586,流行る,"hayaru - be in fashion, be popular"
587,連れて来る,tsuretekuru - bring (a person)
588,方,kata - person (polite form)
589,零,rei - zero
590,雲,kumo - cloud
591,空,sora - sky
592,人気,ninki - popularity
593,兄さん,niisan - (one’s own) older brother (polite)
594,姉さん,neesan - (one’s own) older sister (polite)
595,平成,heisei - Heisei era
596,毎月,maitsuki - every month
597,半日,hannichi - half a day
598,半月,hantsuki - half a month
599,なるほど,"naruhodo - I see, really"
600,つまり,"tsumari - in short, that is to say"
601,そのまま,"sonomama - as it is, just like that"
602,はっきり,hakkiri - clearly
603,大変,"taihen - awful, hard"
604,簡単,"kantan - simple, easy"
605,似ている,"niteiru - look like, resemble"
606,驚く,"odoroku - be surprised, be startled"
607,嫌,iya/ kira-i - dislike (situational)
608,喧嘩,"kenka - fight, argument"
609,遅れる,okureru - be late
610,にんじん,ninjin - carrot
611,ジャガイモ,jagaimo - potato
612,ナス,nasu - eggplant
613,やかん,yakan - kettle
614,話し合う,"hanashiau - discuss, talk over"
615,残す,"nokosu - leave, leave undone"
616,ごちそうする,"gochisousuru - treat, host (a meal)"
617,合う,"au - fit, match"
618,当たる,"ataru - (go straight and) hit, strike"
619,集まる,"atsumaru - gather, be collected"
620,場所,"basho - place, space"
621,海,"umi - sea, ocean"
622,少年,shounen - boy (between 7 and 18 years old)
623,孫,mago - grandchild
624,生徒,"seito - pupil, student"
625,高校,koukou - high school (for short)
626,年上,"toshiue - older, senior"
627,卒業,sotsugyou - graduation
628,運動,"undou - movement, exercise"
629,選手,"senshu - athlete, (sports) player"
630,映画,eiga - movie
631,英語,eigo - English
632,手紙,tegami - letter
633,動物,doubutsu - animal
634,音,"oto - sound, noise"
635,海外,"kaigai - overseas, abroad"
636,外国人,gaikokujin - foreigner
637,帰国,kikoku - return to one’s country
638,彼ら,karera - they
639,機械,kikai - machine
640,基本,kihon - basics
641,今度,"kondo - this time, next time"
642,最後,saigo - last
643,最初,"saisho - first, outset"
644,準備,"junbi - preparation, arrangement"
645,進む,"susumu - advance, move forward"
646,直接,chokusetsu - directly
647,特に,"tokuni - specially, particularly"
648,届く,"todoku - reach, be received"
649,なぜ,naze - why
650,並ぶ,"narabu - line up, be parallel"
651,運ぶ,"hakobu - carry, transport"
652,直す,"naosu - repair, fix"
653,反対,"hantai - oppose, object"
654,場合,"baai - situation, case"
655,詳しい,kuwashii - detailed
656,いたずら,"itazura - mischief, prank"
657,お祝い,oiwai - celebrate
658,くし,kushi - comb
659,こぼれる,"koboreru - spill, overflow"
660,伝える,"tsutaeru - convey, transmit"
661,膝,hiza - knee
662,肘,hiji - elbow
663,枕,makura - pillow
664,建物,"tatemono - building, structure"
665,道路,douro - road
666,四つ角,yotsukado - intersection
667,曲がり角,magarikado - corner (to turn)
668,警察,keisatsu - police
669,空気,"kuuki - air, atmosphere"
670,スポーツ,supo-tsu - sport
671,チャンス,chansu - chance
672,クリーニング,kuri-ningu - dry cleaning
673,サービス,"sa-bisu - service, on the house"
674,グループ,guru-pu - group
675,自宅,"jitaku - one’s house, one’s home"
676,家庭,"katei - home, family"
677,期間,"kikan - term, period"
678,年度,"nendo - year, school year"
679,経験,"keiken - experience, knowledge"
680,安全,"anzen - safety, security"
681,危険,"kiken - danger, dangerous"
682,注意,"chuui - attention, care"
683,成功,seikou - success
684,努力,"doryoku - endeavor, effort"
685,説明,"setsumei - explanation, description"
686,地震,jishin - earthquake
687,手術,shujutsu - surgical operation
688,火傷,yakedo - burn
689,課題,"kadai - task, assignment"
690,子,"ko - young child, kid"
691,確認,kakunin - confirmation
692,実際,"jissai - reality, actual state"
693,国際,kokusai - international (used in compound nouns)
694,会議,"kaigi - conference, meeting"
695,提案,"teian - proposition, proposal"
696,事務所,"jimusho - office, one’s place of business"
697,教授,kyouju - professor
698,世紀,seiki - century
699,あちこち,"achikochi - all over, here and there"
700,そちら,"sochira - there, that way (polite)"
701,あちら,"achira - over there, that way (polite)"
702,もし,"moshi - if, in case of"
703,うるさい,"urusai - noisy, annoying"
704,固い,"katai - stiff, tight"
705,深い,"fukai - deep, profound"
706,面白い,"omoshiroi - interesting, amusing"
707,全く,"mattaku - entirely, truly"
708,半分,hanbun - half
709,普通,"futsuu - normal, regular"
710,分,"bun - amount, share"
711,文化,bunka - culture
712,毎日,mainichi - every day
713,気を付ける,"kiwotsukeru - be careful about, pay attention to"
714,守る,"mamoru - protect, observe"
715,もちろん,mochiron - of course
716,やはり,yahari - as expected
717,いくら,ikura - how much (money)
718,よろしく,yoroshiku - one’s regards
719,どなた,donata - who (polite)
720,許す,"yurusu - permit, forgive"
721,分ける,"wakeru - divide, share"
722,自然,shizen - nature
723,アパート,"apa-to - apartment, flat"
724,ホテル,hoteru - hotel
725,パソコン,pasokon - personal computer
726,うまい,umai - good at
727,明るい,"akarui - bright, cheerful"
728,急ぐ,"isogu - hurry, do quickly"
729,歌,uta - song
730,中学校,chuugakkou - junior high school
731,テスト,tesuto - test
732,ポスト,"posuto - postbox, mailbox"
733,ハンカチ,hankachi - handkerchief
734,髪,"kami - hair, hairstyle"
735,帽子,"boushi - hat, cap"
736,被る,"kaburu - wear, put on (on one’s head)"
737,ブラウス,burausu - blouse
738,週末,shuumatsu - weekend
739,先週,senshuu - last week
740,再来週,saraishuu - the week after next
741,いつか,"itsuka - some time, some day"
742,宿題,shukudai - homework
743,鍵,"kagi - key, lock"
744,傘,"kasa - umbrella, parasol"
745,乗り換える,"norikaeru - change, transfer"
746,向かう,"mukau - face, head toward"
747,本屋,honya - bookstore (colloquial)
748,お茶,ocha - tea (polite)
749,改札口,kaisatsuguchi - ticket gate
750,晴れ,"hare - fine weather, clear sky"
751,バス停,basutei - bus stop
752,曇り,kumori - cloudy weather
753,塩,shio - salt
754,たくさん,"takusan - a lot, in large quantity"
755,大嫌い,daikirai - hate
756,中,"naka - inside, middle"
757,二階,"nikai - second floor, upstairs"
758,無くす,"nakusu - lose, get rid of"
759,まあまあ,"maamaa - OK, not bad"
760,黄色,kiiro - yellow color
761,ランチ,ranchi - lunch (loan word)
762,魚,sakana - fish
763,味,"aji - taste, flavor"
764,りんご,ringo - apple
765,みかん,mikan - tangerine
766,皿,"sara - plate, counter (for plates or helpings)"
767,コーヒー,ko-hi- - coffee
768,コップ,"koppu - cup, glass"
769,二人,futari - two persons
770,止む,"yamu - stop, cease"
771,九,kyuu - nine
772,昼間,"hiruma - daytime, during the day"
773,いつ頃,"itsugoro - about when, about what time"
774,字,"ji - (individual) character, letter"
775,七,nana - seven (Chinese origin)
776,お釣り,otsuri - change (of money)
777,名字,"myouji - surname, family name"
778,おじ,oji - (one’s own) uncle
779,おば,oba - (one’s own) aunt
780,祖父,sofu - grandfather (formal)
781,祖母,sobo - grandmother (formal)
782,大事,daiji - importance
783,見方,"mikata - view, perspective"
784,鳥,"tori - bird, poultry"
785,犬,inu - dog
786,返事,"henji - reply, answer, response"
787,また,"mata - again, also, or"
788,年間,nenkan - period of one year
789,青,"ao - blue, green"
790,赤,aka - red color
791,信号,"shingou - signal, traffic light"
792,円,en - circle
793,非常に,"hijouni - very, extremely"
794,複雑,"fukuzatsu - complicated, intricate"
795,平和,"heiwa - peace, harmony"
796,回る,"mawaru - turn round, go around"
797,若者,"wakamono - young person, youth"
798,雪,"yuki - snow, snowfall"
799,うまい,"umai - sweet, delicious"
800,思い出す,"omoidasu - recollect, recall"
801,聞こえる,"kikoeru - hear, be heard"
802,借りる,kariru - borrow
803,返す,"kaesu - return, repay"
804,受け取る,"uketoru - receive, get"
805,捨てる,"suteru - discard, abandon"
806,一緒,"issho - together, same (colloquial)"
807,遊び,"asobi - play, amusement"
808,移す,"utsusu - move, transfer"
809,大きさ,"ookisa - size, dimension"
810,考え,"kangae - thought, idea"
811,空港,kuukou - airport (for public transportation)
812,出発,"shuppatsu - departure, starting"
813,地図,"chizu - map, atlas"
814,運転,unten - drive
815,降りる,"oriru - get off, land"
816,ガス,gasu - gas (loan word)
817,必ず,"kanarazu - without exception, always"
818,カメラ,kamera - camera
819,通う,"kayou - go to and from, frequent a place"
820,急に,"kyuuni - suddenly, unexpectedly"
821,サラリーマン,"sarari-man - office worker, company employee"
822,給料,"kyuuryou - salary, pay"
823,曲,kyoku - piece of music
824,切れる,"kireru - cut well, be sharp"
825,正しい,"tadashii - correct, righteous"
826,苦しい,"kurushii - painful, agonizing"
827,細かい,"komakai - minute, fine"
